,title,price,url,item_id,bid_count,location,condition,start_time,date,sold_amount,date_sold,rating
0,1986-87 Fleer Set-Break # 57 Michael Jordan PSA 8 NM-MT,12000.0,https://www.ebay.com/itm/1986-87-Fleer-Set-Break-57-Michael-Jordan-PSA-8-NM-MT-/356402847881,356402847881,,Canada,Graded,2024-12-23,2024-12-28,12000.0,Active,8
1,"1986 Fleer #57 ""MICHAEL JORDAN"" (RC) BGS 7.5 HOF! 2-MINT 9 SUBGRADES GREAT CARD!",5350.0,https://www.ebay.com/itm/1986-Fleer-57-MICHAEL-JORDAN-RC-BGS-7-5-HOF-2-MINT-9-SUBGRADES-GREAT-CARD-/196633143891,196633143891,,"Bismarck,ND,USA",Graded,2024-09-13,2024-12-28,5350.0,Active,7
2,1986 fleer sticker Michael Jordan PSA 5 excellent STICKER #8,650.0,https://www.ebay.com/itm/1986-fleer-sticker-Michael-Jordan-PSA-5-excellent-STICKER-8-/116249913140,116249913140,,"Deerfield Beach,FL,USA",Graded,2024-07-12,2024-12-28,650.0,Active,5
3,1986-87 Fleer Set-Break # 57 Michael Jordan PSA 8 NM-MT,11500.0,https://www.ebay.com/itm/1986-87-Fleer-Set-Break-57-Michael-Jordan-PSA-8-NM-MT-/356402847881,356402847881,,Canada,Graded,2024-12-23,2024-12-29,11500.0,Active,8
4,"1986 Fleer #57 ""MICHAEL JORDAN"" (RC) BGS 7.5 HOF! 2-MINT 9 SUBGRADES GREAT CARD!",5200.0,https://www.ebay.com/itm/1986-Fleer-57-MICHAEL-JORDAN-RC-BGS-7-5-HOF-2-MINT-9-SUBGRADES-GREAT-CARD-/196633143891,196633143891,,"Bismarck,ND,USA",Graded,2024-09-13,2024-12-29,5200.0,Active,7
5,1986 fleer sticker Michael Jordan PSA 5 excellent STICKER #8,575.0,https://www.ebay.com/itm/1986-fleer-sticker-Michael-Jordan-PSA-5-excellent-STICKER-8-/116249913140,116249913140,,"Deerfield Beach,FL,USA",Graded,2024-07-12,2024-12-29,575.0,Active,5
6,1986 FLEER BASKETBALL #57 MICHAEL JORDAN RC PSA 1 HOF ROOKIE,2699.99,https://www.ebay.com/itm/1986-FLEER-BASKETBALL-57-MICHAEL-JORDAN-RC-PSA-1-HOF-ROOKIE-/134382202223,134382202223,,"Tampa,FL,USA",Graded,2022-12-24,2024-12-29,2699.99,Active,1
8,1986-87 Fleer Set-Break # 57 Michael Jordan PSA 8 NM-MT,11500.0,https://www.ebay.com/itm/1986-87-Fleer-Set-Break-57-Michael-Jordan-PSA-8-NM-MT-/356402847881,356402847881,,Canada,Graded,2024-12-23,2024-12-30,11500.0,Active,8
9,1986 FLEER BASKETBALL #57 MICHAEL JORDAN RC PSA 1 HOF ROOKIE,2999.99,https://www.ebay.com/itm/1986-FLEER-BASKETBALL-57-MICHAEL-JORDAN-RC-PSA-1-HOF-ROOKIE-/134382202223,134382202223,,"Tampa,FL,USA",Graded,2022-12-24,2024-12-30,2999.99,Active,1
10,"1986 Fleer #57 ""MICHAEL JORDAN"" (RC) BGS 7.5 HOF! 2-MINT 9 SUBGRADES GREAT CARD!",5200.0,https://www.ebay.com/itm/1986-Fleer-57-MICHAEL-JORDAN-RC-BGS-7-5-HOF-2-MINT-9-SUBGRADES-GREAT-CARD-/196633143891,196633143891,,"Bismarck,ND,USA",Graded,2024-09-13,2024-12-30,5200.0,Active,7
